split,feature,comparison,left_count,right_count,ks_statistic,ks_pvalue,absolute_median_iqr_effect
train,close_open_ratio,BUY_vs_SELL,15579,14645,0.00927245536362642,0.5319132094395769,0.0
train,rsi,BUY_vs_NO_TRADE,15579,41693,0.05766470283636507,3.199603542284858e-33,0.0830866405885754
train,rsi,SELL_vs_NO_TRADE,14645,41693,0.04390715869891834,1.357300055340179e-18,0.04405588190998279
train,rsi,BUY_vs_SELL,15579,14645,0.020310324424741177,0.0038919406721366254,0.03595328462705783
train,macd,BUY_vs_NO_TRADE,15579,41693,0.046704386159355016,6.169278603199825e-22,0.05730049447109989
train,macd,SELL_vs_NO_TRADE,14645,41693,0.046870247174151225,3.957441149358247e-21,0.03128851149673385
train,macd,BUY_vs_SELL,15579,14645,0.02293483158152676,0.0006999610331031125,0.02847613475066268
train,macd_signal,BUY_vs_NO_TRADE,15579,41693,0.055293468931640555,1.4060104152499606e-30,0.0366545318978773
train,macd_signal,SELL_vs_NO_TRADE,14645,41693,0.058009220316836196,3.829605531919377e-32,0.020990634100832156
train,macd_signal,BUY_vs_SELL,15579,14645,0.014926585588696972,0.06850893316725881,0.01772650367903984
train,macd_hist,BUY_vs_NO_TRADE,15579,41693,0.03515694660985813,1.2948131099477984e-12,0.013584379696748259
train,macd_hist,SELL_vs_NO_TRADE,14645,41693,0.019740428658169606,0.000423323148135417,0.01318121981972092
train,macd_hist,BUY_vs_SELL,15579,14645,0.0225111536831486,0.0009364248444217795,0.028224466521256868
train,bb_upper,BUY_vs_NO_TRADE,15579,41693,0.02720852037148952,9.990999255532474e-08,0.03504922071090523
train,bb_upper,SELL_vs_NO_TRADE,14645,41693,0.02440961156864324,4.834335347120433e-06,0.03834762290241971
train,bb_upper,BUY_vs_SELL,15579,14645,0.013736624165414657,0.11473272538724277,0.003677139188391612
train,bb_lower,BUY_vs_NO_TRADE,15579,41693,0.02782543993336206,4.6225211802569326e-08,0.03323683974360393
train,bb_lower,SELL_vs_NO_TRADE,14645,41693,0.0238655397170347,8.546875763702857e-06,0.04086703647036894
train,bb_lower,BUY_vs_SELL,15579,14645,0.013598134649617094,0.12148854537964504,0.00809173340133652
train,bb_width,BUY_vs_NO_TRADE,15579,41693,0.021418418883740742,5.963141172152792e-05,0.03086406194556798
train,bb_width,SELL_vs_NO_TRADE,14645,41693,0.028457527304334596,4.6560034665938956e-08,0.0468930369271515
train,bb_width,BUY_vs_SELL,15579,14645,0.013469182532508506,0.12806886396372674,0.01692848450793052
train,bb_pct,BUY_vs_NO_TRADE,15579,41693,0.06346184012397404,3.760106039664796e-40,0.09032177831105778
train,bb_pct,SELL_vs_NO_TRADE,14645,41693,0.057622981661045986,1.0099922091094916e-31,0.048918476079609564
train,bb_pct,BUY_vs_SELL,15579,14645,0.023078422904343587,0.0006334330397877285,0.03692657924653808
train,sma_10,BUY_vs_NO_TRADE,15579,41693,0.028705809401595117,1.493507415056031e-08,0.035377122208269544
train,sma_10,SELL_vs_NO_TRADE,14645,41693,0.024116875307901964,6.579316133962546e-06,0.03865213819020971
train,sma_10,BUY_vs_SELL,15579,14645,0.014442847499953504,0.0849245840648939,0.0035402168672310336
train,sma_20,BUY_vs_NO_TRADE,15579,41693,0.0278301556127869,4.595061805715786e-08,0.03455859576114547
train,sma_20,SELL_vs_NO_TRADE,14645,41693,0.02395069941607758,7.8242145279094e-06,0.038285355571905225
train,sma_20,BUY_vs_SELL,15579,14645,0.015229165698298575,0.05968041818443948,0.003963893814343701
train,sma_50,BUY_vs_NO_TRADE,15579,41693,0.027519080885228697,6.792697089275911e-08,0.03034086589111128
train,sma_50,SELL_vs_NO_TRADE,14645,41693,0.024822743709144113,3.1095561615060174e-06,0.0356859942476417
train,sma_50,BUY_vs_SELL,15579,14645,0.01630373161023746,0.03575476042137293,0.005605442602930165
train,sma_200,BUY_vs_NO_TRADE,15579,41693,0.030368866187180155,1.6054409843217244e-09,0.02671571000458392
train,sma_200,SELL_vs_NO_TRADE,14645,41693,0.02342859142315329,1.338180493557821e-05,0.033274726863799085
train,sma_200,BUY_vs_SELL,15579,14645,0.017055503036309344,0.02447163759106674,0.006775506929646246
train,ema_12,BUY_vs_NO_TRADE,15579,41693,0.028602792667231536,1.707706209269235e-08,0.03439723917126695
train,ema_12,SELL_vs_NO_TRADE,14645,41693,0.024517273945959317,4.3122664595831675e-06,0.03838767233760297
train,ema_12,BUY_vs_SELL,15579,14645,0.015012913072418449,0.0658833644193273,0.004255203625992833
train,ema_26,BUY_vs_NO_TRADE,15579,41693,0.027618750611081155,5.995992434930379e-08,0.03248035611958559
train,ema_26,SELL_vs_NO_TRADE,14645,41693,0.024212814674222483,5.949678833848335e-06,0.037927383006869625
train,ema_26,BUY_vs_SELL,15579,14645,0.01722939839154139,0.022362322114333377,0.005711927361286136
train,price_to_sma_10,BUY_vs_NO_TRADE,15579,41693,0.06763249600833443,1.5063194020439567e-45,0.05128062202886627
train,price_to_sma_10,SELL_vs_NO_TRADE,14645,41693,0.05792649922681434,4.716203437855537e-32,0.01887440273605229
train,price_to_sma_10,BUY_vs_SELL,15579,14645,0.022717145716045772,0.0008134146124009256,0.02735008423077118
train,price_to_sma_20,BUY_vs_NO_TRADE,15579,41693,0.05421719631482913,2.0457927951069676e-29,0.06387049431934452
train,price_to_sma_20,SELL_vs_NO_TRADE,14645,41693,0.03934225621302179,5.178028527686264e-15,0.03681943320303504
train,price_to_sma_20,BUY_vs_SELL,15579,14645,0.02194636523753174,0.0013686979785018987,0.025055997165984393
train,price_to_sma_50,BUY_vs_NO_TRADE,15579,41693,0.050035189237390254,4.0919734350228506e-25,0.06730354063490673
train,price_to_sma_50,SELL_vs_NO_TRADE,14645,41693,0.0418691039021617,6.029276628326661e-17,0.04114638684885416
train,price_to_sma_50,BUY_vs_SELL,15579,14645,0.02119847276267306,0.002229155760266901,0.028211501843567303
train,price_to_sma_200,BUY_vs_NO_TRADE,15579,41693,0.029235842223663044,7.437434886905981e-09,0.00686804492913505
train,price_to_sma_200,SELL_vs_NO_TRADE,14645,41693,0.031532072822499146,8.514890267310986e-10,0.039879660398969285
train,price_to_sma_200,BUY_vs_SELL,15579,14645,0.019923555733329823,0.0049241136800921735,0.034720113594063566
train,atr,BUY_vs_NO_TRADE,15579,41693,0.05070826125622091,8.770930722839747e-26,0.06373220415320785
train,atr,SELL_vs_NO_TRADE,14645,41693,0.05387047171779785,8.898586393572257e-28,0.08464879355306759
train,atr,BUY_vs_SELL,15579,14645,0.01245849001721222,0.19024288376044673,0.020281056075876044
train,atr_pct,BUY_vs_NO_TRADE,15579,41693,0.04801915237711493,3.646331935619178e-23,0.06291893126353566
train,atr_pct,SELL_vs_NO_TRADE,14645,41693,0.05228844827221801,3.409855844756791e-26,0.06916548006384812
train,atr_pct,BUY_vs_SELL,15579,14645,0.01199906002273754,0.22535774720597557,0.005928921609990217
train,volatility_5,BUY_vs_NO_TRADE,15579,41693,0.10221722732777272,1.2874068870145343e-103,0.18536414137173135
train,volatility_5,SELL_vs_NO_TRADE,14645,41693,0.09297389164421599,5.555357459837253e-82,0.17414394124898608
train,volatility_5,BUY_vs_SELL,15579,14645,0.01362487968950682,0.12015905082519895,0.011344723823591469
train,volatility_20,BUY_vs_NO_TRADE,15579,41693,0.028599405630099717,1.715233787176772e-08,0.04945921935625813
train,volatility_20,SELL_vs_NO_TRADE,14645,41693,0.0342990129521174,1.6362905573114826e-11,0.061002486275621284
train,volatility_20,BUY_vs_SELL,15579,14645,0.013613133260974353,0.12074148856154732,0.011820577436635313
train,volume_sma,BUY_vs_NO_TRADE,15579,41693,0.04151806098984501,2.0079066358493497e-17,0.06502839469272649
train,volume_sma,SELL_vs_NO_TRADE,14645,41693,0.053369020659448485,2.859784143558573e-27,0.0865065467945535
train,volume_sma,BUY_vs_SELL,15579,14645,0.017136531478204042,0.023467792708842618,0.022733347400998853
train,volume_ratio,BUY_vs_NO_TRADE,15579,41693,0.25469217223249474,0.0,0.3877006978903278
train,volume_ratio,SELL_vs_NO_TRADE,14645,41693,0.23876400452913074,0.0,0.37583401769125657
train,volume_ratio,BUY_vs_SELL,15579,14645,0.01831379536288255,0.012486755557749678,0.009483119160300854
train,obv,BUY_vs_NO_TRADE,15579,41693,0.030720551489948622,9.85767630701567e-10,0.027622418011698364
train,obv,SELL_vs_NO_TRADE,14645,41693,0.0236400756551835,1.0782637215567195e-05,0.03379468538673846
train,obv,BUY_vs_SELL,15579,14645,0.010854510818121055,0.3336531371429564,0.006138259708766567
train,body_size,BUY_vs_NO_TRADE,15579,41693,0.10621938889176252,7.10034707661814e-112,0.19225447729262715
train,body_size,SELL_vs_NO_TRADE,14645,41693,0.09705784278238516,2.5602928365304162e-89,0.1740296298156668
train,body_size,BUY_vs_SELL,15579,14645,0.012642602135469971,0.177428042452209,0.014823706552821258
train,upper_shadow,BUY_vs_NO_TRADE,15579,41693,0.10568778109742827,9.261740260412673e-111,0.1894313061415434
train,upper_shadow,SELL_vs_NO_TRADE,14645,41693,0.08756095754857462,9.528340377982833e-73,0.15027777772000173
train,upper_shadow,BUY_vs_SELL,15579,14645,0.02508011513516134,0.0001475342672575765,0.03327137747307016
train,lower_shadow,BUY_vs_NO_TRADE,15579,41693,0.10361229095855362,1.85080983469299e-106,0.184556655499783
train,lower_shadow,SELL_vs_NO_TRADE,14645,41693,0.09737641781715234,6.647127072699069e-90,0.16532871341184008
train,lower_shadow,BUY_vs_SELL,15579,14645,0.009671329889219094,0.47723795153965776,0.016056485207828514
train,day_of_week,BUY_vs_NO_TRADE,15579,41693,0.025403987044909315,8.622515492496806e-07,0.0
train,day_of_week,SELL_vs_NO_TRADE,14645,41693,0.022953824217577246,2.157728031662837e-05,0.0
train,day_of_week,BUY_vs_SELL,15579,14645,0.01804099770920531,0.014506582080446511,0.0
train,is_weekend,BUY_vs_NO_TRADE,15579,41693,0.0,1.0,0.0
train,is_weekend,SELL_vs_NO_TRADE,14645,41693,0.0,1.0,0.0
train,is_weekend,BUY_vs_SELL,15579,14645,0.0,1.0,0.0
train,hour_of_day,BUY_vs_NO_TRADE,15579,41693,0.29821389046189817,0.0,0.3076923076923077
train,hour_of_day,SELL_vs_NO_TRADE,14645,41693,0.2877896627167069,0.0,0.3076923076923077
train,hour_of_day,BUY_vs_SELL,15579,14645,0.018639140752259253,0.010411533112849317,0.0
train,is_market_open,BUY_vs_NO_TRADE,15579,41693,0.0,1.0,0.0
train,is_market_open,SELL_vs_NO_TRADE,14645,41693,0.0,1.0,0.0
