treatment,fold,direction_auc,balanced_accuracy,buy_recall,sell_recall,directional_macro_f1,activity_auc,scaler_fit_rows,source
m1_h2,2,0.5141918879296302,0.5009069881088125,0.29542857142857143,0.7063854047890535,0.4790225719187951,0.7546957853522847,23828,
m1_h2,3,0.5135442913617351,0.5020551319144932,0.14714204867006225,0.8569682151589242,0.42346421285206803,0.7651795939422423,35740,
m1_h2,4,0.4922212972843726,0.4988360173750559,0.23329355608591884,0.764378478664193,0.45841724397185973,0.768315746886086,47652,
m1_h2,5,0.5153873489694385,0.5065421518779728,0.43214285714285716,0.5809414466130884,0.5044285108865553,0.7561249043981333,59564,
m15_h3,1,0.5026799513072934,0.4970713806852264,0.30265339966832505,0.6914893617021277,0.4760315582384206,0.7434702173089405,11912,
m15_h3,2,0.5071095098749399,0.5095046095816753,0.3394863563402889,0.6795228628230616,0.49529197608413966,0.7604401773794746,23824,
m15_h3,3,0.5225683544863942,0.504172244178875,0.1520700636942675,0.8562744246634825,0.4263340776646152,0.7681036888182465,35736,
m15_h3,4,0.48680607193887965,0.4888209692940251,0.22236024844720498,0.7552816901408451,0.44561191972291864,0.7716271834855003,47648,
m15_h3,5,0.5243866016694761,0.5137478675960657,0.47370600414078673,0.5537897310513448,0.5131192612160398,0.7554913459312972,59560,
m1_h3,1,0.5047614763064112,0.5005199181397975,0.28316749585406303,0.7178723404255319,0.474322785918887,0.750445176411157,11912,
m1_h3,2,0.5171500690878804,0.5048604839661868,0.3238362760834671,0.6858846918489065,0.48849800793112735,0.7651224274429991,23824,
m1_h3,3,0.5160284909464532,0.4988713316333445,0.15406050955414013,0.8436821537125488,0.42372375324307476,0.7765218538949443,35736,
m1_h3,4,0.4969950135596186,0.49642784241681975,0.2463768115942029,0.7464788732394366,0.45894307548629376,0.7745422478282342,47648,
m1_h3,5,0.5090844204164072,0.5037740385832232,0.4749482401656315,0.532599837000815,0.5034687536011668,0.7586742845718408,59560,
m15_h4,1,0.5063484557918538,0.5052037667802043,0.31336405529953915,0.6970434782608695,0.48356881241071786,0.7533855075543248,11912,
m15_h4,2,0.5057094555328973,0.503444998573587,0.3396774193548387,0.6672125777923354,0.4891284910504153,0.7777229027292747,23823,
m15_h4,3,0.5177867023041116,0.508531172200202,0.14833924540470816,0.8687230989956959,0.4256334972242275,0.7697062996329922,35734,
m15_h4,4,0.4917999806557694,0.49284529451591064,0.24069058903182125,0.745,0.45497349580726004,0.7773004821299505,47645,
m15_h4,5,0.5156101356678455,0.5120393205230873,0.4445557782231129,0.5795228628230616,0.5099397210185763,0.77577414251003,59556,
m1_h4,1,0.506532043392392,0.5006395511921459,0.2903225806451613,0.7109565217391305,0.4745497209811883,0.7599480987151307,11912,
m1_h4,2,0.5138878733767949,0.5056212292509747,0.3335483870967742,0.6776940714051752,0.48987288962129794,0.7811707869383968,23823,
m1_h4,3,0.5148615686983927,0.5019056540746564,0.1289906481780071,0.8748206599713056,0.41153989804342983,0.7825884108977447,35734,
m1_h4,4,0.4872585598220331,0.495154874746107,0.26709546377792825,0.7232142857142857,0.4643343649721572,0.786012176797278,47645,
