feature,importance_mean,importance_std,importance_min,importance_max,rank_mean,rank_std,rank_min,rank_max,fold_1_importance,fold_1_rank,fold_2_importance,fold_2_rank,fold_3_importance,fold_3_rank,fold_4_importance,fold_4_rank,fold_5_importance,fold_5_rank
bb_lower,0.01792603302747011,0.004112975519114186,0.013726797886192799,0.024013495072722435,12.8,1.3038404810405295,11,14,0.024013495072722435,11,0.019754163920879364,12,0.017235711216926575,14,0.014899997040629387,13,0.013726797886192799,14
volume_ratio,0.017163129523396492,0.002389188532857213,0.01481576357036829,0.020555300638079643,14.6,4.6690470119715,8,20,0.020555300638079643,20,0.017983410507440567,18,0.01753515563905239,13,0.01481576357036829,14,0.014926017262041569,8
price_to_sma_200,0.01642079818993807,0.003662472498087728,0.012604058720171452,0.02170153521001339,15.8,1.30384048104053,14,17,0.02170153521001339,14,0.018043646588921547,16,0.016256358474493027,17,0.013498391956090927,17,0.012604058720171452,15
atr_pct,0.016366153955459595,0.0035926823863143232,0.012373998761177063,0.021382857114076614,16.0,0.7071067811865476,15,17,0.021382857114076614,17,0.01807265169918537,15,0.016394082456827164,16,0.013607179746031761,16,0.012373998761177063,16
volatility_20,0.016208736598491667,0.003692921975885551,0.012113790027797222,0.021266702562570572,17.4,1.949358868961793,14,19,0.021266702562570572,18,0.01815680041909218,14,0.016196615993976593,19,0.013309773989021778,18,0.012113790027797222,18
macd_signal,0.016207905299961568,0.003812662739480186,0.012074821628630161,0.02156205289065838,17.8,1.9235384061671341,15,20,0.02156205289065838,15,0.018009092658758163,17,0.01621088571846485,18,0.01318267360329628,19,0.012074821628630161,20
bb_upper,0.016152169741690158,0.0033125349514182096,0.012107927352190018,0.020548095926642418,18.2,3.03315017762062,15,21,0.020548095926642418,21,0.01778249628841877,21,0.016500817611813545,15,0.013821511529386044,15,0.012107927352190018,19
volume_sma,0.01601481717079878,0.003774978834900754,0.012207423336803913,0.021465953439474106,19.4,3.1304951684997055,16,24,0.021465953439474106,16,0.01782175339758396,20,0.015625912696123123,24,0.012953042984008789,20,0.012207423336803913,17
bb_width,0.01584732886403799,0.0037195662008044487,0.011825270019471645,0.020926637575030327,21.4,2.302172886644268,19,24,0.020926637575030327,19,0.01785239204764366,19,0.01584181934595108,22,0.012790525332093239,24,0.011825270019471645,23
price_to_sma_50,0.015677831321954726,0.0034472281258192193,0.011717363260686398,0.020234299823641777,22.6,1.3416407864998734,21,24,0.020234299823641777,24,0.017530575394630432,22,0.015979234129190445,21,0.012927684001624584,22,0.011717363260686398,24
atr,0.015622788295149802,0.003296117806477297,0.012040280736982822,0.020023595541715622,23.0,2.345207879911715,20,25,0.020023595541715622,25,0.01723841018974781,24,0.016091633588075638,20,0.012720021419227123,25,0.012040280736982822,21
macd_hist,0.015579513274133205,0.003575822172794583,0.011561060324311256,0.020503630861639977,23.2,1.7888543819998317,21,25,0.020503630861639977,22,0.01750767230987549,23,0.015391023829579353,25,0.012934179045259953,21,0.011561060324311256,25
price_to_sma_20,0.01537430938333273,0.003361525281659814,0.011441866867244244,0.019881252199411392,24.6,1.5165750888103104,23,26,0.019881252199411392,26,0.01704053394496441,25,0.015692008659243584,23,0.012815885245800018,23,0.011441866867244244,26
macd,0.015280489437282085,0.003529420409488733,0.01186014711856842,0.020465310662984848,24.6,1.9493588689617931,22,26,0.020465310662984848,23,0.01670411229133606,26,0.015124740079045296,26,0.012248137034475803,26,0.01186014711856842,22
rsi,0.014490817859768867,0.0033227145217252863,0.01084800437092781,0.018990786746144295,27.2,0.44721359549995815,27,28,0.018990786746144295,27,0.01624935492873192,27,0.014619728550314903,27,0.01174621470272541,27,0.01084800437092781,28
price_to_sma_10,0.01426283773034811,0.003161985126050234,0.010852725245058537,0.018687210977077484,27.8,0.44721359549995815,27,28,0.018687210977077484,28,0.01576419360935688,28,0.014303185977041721,28,0.011706872843205929,28,0.010852725245058537,27
bb_pct,0.01384023055434227,0.00319245690635201,0.010302110575139523,0.018436439335346222,29.6,0.8944271909999161,29,31,0.018436439335346222,29,0.014837215654551983,31,0.014230094850063324,29,0.011395292356610298,29,0.010302110575139523,30
volatility_5,0.013822103850543499,0.0031742939249064937,0.010511386208236217,0.01823214441537857,29.6,0.5477225575051662,29,30,0.01823214441537857,30,0.01543972734361887,29,0.01380296889692545,30,0.011124292388558388,30,0.010511386208236217,29
returns_10,0.013414835557341576,0.003039754068180602,0.009930498898029327,0.017356522381305695,30.8,0.44721359549995765,30,31,0.017356522381305695,31,0.015275795012712479,30,0.013507174327969551,31,0.011004187166690826,31,0.009930498898029327,31
returns_5,0.012996921874582767,0.00297348408975199,0.009854092262685299,0.01729699783027172,32.0,0.0,32,32,0.01729699783027172,32,0.014368725009262562,32,0.012711812742054462,32,0.010752981528639793,32,0.009854092262685299,32
high_low_ratio,0.01240684986114502,0.002566539025270739,0.009594499133527279,0.016098229214549065,33.2,0.44721359549995865,33,34,0.016098229214549065,34,0.013439685106277466,33,0.012430339120328426,33,0.010471496731042862,33,0.009594499133527279,33
close_open_ratio,0.012051447108387948,0.002864971132174394,0.009182741865515709,0.016263317316770554,34.0,0.7071067811865481,33,35,0.016263317316770554,33,0.013277705758810043,34,0.011781190522015095,34,0.009752280078828335,35,0.009182741865515709,34
returns_2,0.011809627898037434,0.0027812374576104337,0.008883070200681686,0.015848958864808083,35.0,0.7071067811865481,34,36,0.015848958864808083,36,0.013122930191457272,35,0.011431008577346802,35,0.009762171655893326,34,0.008883070200681686,35
body_size,0.011698845401406288,0.0029029040873390496,0.008795712143182755,0.016041308641433716,35.8,0.44721359549995865,35,36,0.016041308641433716,35,0.012869156897068024,36,0.011301630176603794,36,0.009486419148743153,36,0.008795712143182755,36
upper_shadow,0.011247750744223595,0.002855498967654398,0.008276022039353848,0.015321610495448112,37.4,0.5477225575051664,37,38,0.015321610495448112,37,0.012498482130467892,37,0.01126624271273613,37,0.008876396343111992,38,0.008276022039353848,38
lower_shadow,0.011162834241986275,0.0024880241910977775,0.00846153125166893,0.014634127728641033,37.6,0.5477225575051664,37,38,0.014634127728641033,38,0.0124522615224123,38,0.011036152951419353,38,0.009230097755789757,37,0.00846153125166893,37
returns,0.010453226417303086,0.0026664455661662987,0.007921230979263783,0.014608905650675297,39.6,0.5477225575051667,39,40,0.014608905650675297,39,0.011137302033603191,40,0.010201627388596535,40,0.008397066034376621,40,0.007921230979263783,39
log_returns,0.010340426489710808,0.002314684008512828,0.007743142545223236,0.013746632263064384,39.4,0.5477225575051667,39,40,0.013746632263064384,40,0.011188129894435406,39,0.010216429829597473,39,0.00880779791623354,39,0.007743142545223236,40
is_market_open,0.0,0.0,0.0,0.0,42.0,0.0,42,42,0.0,42,0.0,42,0.0,42,0.0,42,0.0,42
is_weekend,0.0,0.0,0.0,0.0,41.0,0.0,41,41,0.0,41,0.0,41,0.0,41,0.0,41,0.0,41
