dimension,group,split,row_count,sell_pct,buy_pct,no_trade_pct,validation_minus_train_sell_pct_pp,validation_minus_train_buy_pct_pp,validation_minus_train_no_trade_pct_pp
year_month,2024-05,train,2103,18.97289586305278,20.827389443651924,60.19971469329529,,,
year_month,2024-06,train,1824,21.92982456140351,20.723684210526315,57.34649122807018,,,
year_month,2024-07,train,2087,19.310014374700526,22.807858169621465,57.88212745567801,,,
year_month,2024-08,train,2025,17.432098765432098,20.987654320987655,61.58024691358025,,,
year_month,2024-09,train,1916,17.954070981210855,22.286012526096034,59.75991649269311,,,
year_month,2024-10,train,2117,20.500708549834673,18.469532357109117,61.029759093056214,,,
year_month,2024-11,train,1903,18.024172359432477,24.90803993694167,57.067787703625854,,,
year_month,2024-12,train,1918,22.888425443169968,18.665276329509908,58.44629822732013,,,
year_month,2025-01,train,1979,18.292066700353715,24.70944921677615,56.998484082870135,,,
year_month,2025-02,train,1824,18.914473684210527,20.55921052631579,60.526315789473685,,,
year_month,2025-03,train,1932,22.049689440993788,19.25465838509317,58.69565217391305,,,
year_month,2025-04,train,1932,22.87784679089027,21.22153209109731,55.900621118012424,,,
year_month,2025-05,train,2008,20.866533864541832,19.820717131474105,59.31274900398407,,,
year_month,2025-06,train,87,13.793103448275861,20.689655172413794,65.51724137931035,4.79628966271375,2.0550140457382007,-6.851303708451958
year_month,2025-06,validation,1829,18.58939311098961,22.744669218151994,58.66593767085839,4.79628966271375,2.0550140457382007,-6.851303708451958
year_month,2025-07,validation,2085,20.38369304556355,19.85611510791367,59.76019184652278,,,
year_month,2025-08,validation,1932,19.92753623188406,22.77432712215321,57.298136645962735,,,
year_month,2025-09,validation,2008,19.47211155378486,20.169322709163346,60.35856573705179,,,
year_month,2025-10,validation,137,19.708029197080293,20.437956204379564,59.85401459854015,,,
month_of_year,1,train,5903,19.735727596137558,22.209046247670678,58.055226156191765,,,
month_of_year,2,train,5563,19.89933489124573,20.34873269818443,59.751932410569836,,,
month_of_year,3,train,5890,20.526315789473685,22.156196943972834,57.31748726655348,,,
month_of_year,4,train,5704,20.774894810659188,21.020336605890602,58.20476858345021,,,
month_of_year,5,train,7283,20.733214334752162,20.609638885074833,58.65714678017301,,,
month_of_year,6,train,5926,21.717853526830915,21.059736753290583,57.2224097198785,-3.128460415841303,1.6849324648614115,1.4435279509798917
month_of_year,7,train,5904,19.715447154471544,22.62872628726287,57.65582655826558,0.6682458910920062,-2.7726111793492016,2.104365288257199
month_of_year,8,train,6253,20.77402846633616,21.333759795298256,57.89221173836558,-0.8464922344521,1.4405673268549535,-0.5940750924028464
month_of_year,9,train,5840,21.404109589041095,21.404109589041095,57.19178082191781,-1.9319980352562354,-1.234786879877749,3.166784915133981
month_of_year,10,train,6073,20.945167133212582,21.94961304133048,57.10521982545694,-1.2371379361322887,-1.511656836950916,2.7487947730832047
month_of_year,11,train,5889,17.541178468330788,24.299541518084563,58.15928001358465,,,
month_of_year,12,train,5689,20.460537880119528,21.075760239057832,58.46370188082264,,,
month_of_year,6,validation,1829,18.58939311098961,22.744669218151994,58.66593767085839,-3.128460415841303,1.6849324648614115,1.4435279509798917
month_of_year,7,validation,2085,20.38369304556355,19.85611510791367,59.76019184652278,0.6682458910920062,-2.7726111793492016,2.104365288257199
month_of_year,8,validation,1932,19.92753623188406,22.77432712215321,57.298136645962735,-0.8464922344521,1.4405673268549535,-0.5940750924028464
month_of_year,9,validation,2008,19.47211155378486,20.169322709163346,60.35856573705179,-1.9319980352562354,-1.234786879877749,3.166784915133981
month_of_year,10,validation,137,19.708029197080293,20.437956204379564,59.85401459854015,-1.2371379361322887,-1.511656836950916,2.7487947730832047
weekday,0,train,14058,18.67975529947361,21.33304879783753,59.98719590268886,0.3801287958258115,0.10932080937431721,-0.4894496052001287
weekday,1,train,14600,21.404109589041095,21.15753424657534,57.43835616438356,-0.9934815697174244,-0.2638144398120552,1.2572960095294832
weekday,2,train,14415,20.915712799167533,20.50641692681235,58.57787027402012,-2.7997707701820254,2.198897082849488,0.6008736873325375
weekday,3,train,14534,20.42796202009082,22.065501582496214,57.506536397412965,-0.9095843268081829,-0.39249778021484616,1.3020821070230326
weekday,4,train,14310,20.335429769392032,23.25646401118099,56.408106219426976,0.724001755155772,-3.4890221507158756,2.765020395560107
weekday,0,validation,1553,19.05988409529942,21.442369607211848,59.49774629748873,0.3801287958258115,0.10932080937431721,-0.4894496052001287
weekday,1,validation,1656,20.41062801932367,20.893719806763286,58.69565217391305,-0.9934815697174244,-0.2638144398120552,1.2572960095294832
weekday,2,validation,1656,18.115942028985508,22.705314009661837,59.17874396135266,-2.7997707701820254,2.198897082849488,0.6008736873325375
weekday,3,validation,1578,19.518377693282638,21.673003802281368,58.808618504436,-0.9095843268081829,-0.39249778021484616,1.3020821070230326
weekday,4,validation,1548,21.059431524547804,19.767441860465116,59.17312661498708,0.724001755155772,-3.4890221507158756,2.765020395560107
utc_hour,0,train,12,8.333333333333334,8.333333333333334,83.33333333333333,,,
utc_hour,1,train,3142,5.155951623169956,4.201145767027371,90.64290260980268,0.8099574677391352,1.4806724147908108,-2.2906298825299416
utc_hour,2,train,3144,8.524173027989821,8.492366412213741,82.98346055979644,3.9758269720101787,2.8712699514226223,-6.847096923432801
utc_hour,3,train,3144,9.541984732824428,9.764631043256998,80.69338422391857,2.6739243580846637,1.8830962294702758,-4.557020587554931
utc_hour,4,train,3145,8.966613672496026,9.475357710651828,81.55802861685214,1.8288408729585193,0.7519150166208988,-2.5807558895794074
utc_hour,5,train,3148,7.878017789072427,8.259212198221093,83.86277001270648,1.212891301836665,1.968060529051634,-3.18095183088829
utc_hour,6,train,3148,9.593392630241423,9.021601016518424,81.38500635324016,4.611152824304032,-1.0670555619729702,-3.5440972623310643
utc_hour,7,train,3148,16.296060991105463,15.787801778907243,67.9161372299873,2.1698480998036267,2.9621982210927573,-5.132046320896393
utc_hour,8,train,3147,27.35938989513823,26.278995869081665,46.36161423578011,-4.916208076956412,5.539185949100151,-0.6229778721437427
utc_hour,9,train,3147,32.22116301239276,33.8417540514776,33.93708293612965,1.5856551694254222,-4.580390415113964,2.9947352456885312
utc_hour,10,train,3148,28.335451080050827,31.353240152477763,40.31130876747141,-3.3354510800508272,-1.52369469793231,4.859145777983137
utc_hour,11,train,3148,22.61753494282084,25.34942820838628,52.03303684879288,-5.5720803973662925,-3.1903372992953685,8.762417696661664
