feature,family,ks_statistic,psi,wasserstein,wasserstein_train_std_units,train_mean,validation_mean,train_std,validation_std
bb_width,normalized_relative,0.12071538439224039,0.13703668152722703,0.001425895930899474,0.2598242414366891,0.005412675083992043,0.0040199051085416685,0.005487924925769174,0.0031416817508257483
volume_ratio,normalized_relative,0.11836039831140105,0.10935169743494966,0.1468228127935179,0.2177800031154606,1.0732348361430748,1.106011963913507,0.6741794962491423,0.9304584054261978
high_low_ratio,normalized_relative,0.11614084032169147,0.10308432393729863,0.00027365386620516885,0.22544442154996433,0.0011395652889977393,0.0008726246483711527,0.0012138418166382531,0.0007232401818481787
body_size,price_level_or_scale_dependent,0.08114196640081417,0.0466680567463358,0.0001459159542422598,0.17240637396307149,0.000578277216914573,0.0004324620647604804,0.0008463489538589462,0.0005360344238178624
lower_shadow,price_level_or_scale_dependent,0.06740243862822659,0.040794503151195996,6.314358798036652e-05,0.16097167178190772,0.0002869198037884936,0.0002239382021460557,0.00039226521835417435,0.00028031243205718377
upper_shadow,price_level_or_scale_dependent,0.05990706478893337,0.032860309829013896,5.9098234676801764e-05,0.14168042426067334,0.0002743738302142928,0.00021621895128384194,0.00041712350160717185,0.0002617632009074355
price_to_sma_50,normalized_relative,0.053119247870012695,0.05231555413520893,0.0006823719431237373,0.1637821827898456,1.0000957459213107,1.0003013463806458,0.004166338068648844,0.0026861831450659237
price_to_sma_10,normalized_relative,0.048558713121974545,0.05053194795590459,0.00027286986399088905,0.15697562545474458,1.0000175663561202,1.0000536921375942,0.0017382944848947667,0.0011530559304769707
returns_5,normalized_relative,0.048280987134066866,0.048970388580219855,0.00035060154834288046,0.15243201606827614,2.14939925881802e-05,6.0269489996150705e-05,0.002300051901077276,0.0015384756958161923
returns_10,normalized_relative,0.04768303389103948,0.048868506362282405,0.0005229977931392556,0.16021299837720168,4.269754352628806e-05,0.00012240236925721289,0.0032643905203491794,0.0021455522971580276
price_to_sma_20,normalized_relative,0.04581993494297533,0.04725926146344964,0.0004173007012993449,0.16285876782988695,1.0000369817427872,1.0001151572380118,0.002562347160425735,0.0016778242645272346
returns_2,normalized_relative,0.04429125005992157,0.042035598651432235,0.00021240059213067908,0.14575705835274033,8.64392910580773e-06,2.4016813609294698e-05,0.00145722337244662,0.000977780092786262
returns,normalized_relative,0.04310793299733778,0.04198278994356448,0.000148018374791964,0.1421650222707962,4.339059311489304e-06,1.2022884596777506e-05,0.001041172944143872,0.000692885087925432
log_returns,normalized_relative,0.04310793299733778,0.04198278994356448,0.00014803145745463425,0.1421892533269434,3.797096940777503e-06,1.1782779448030855e-05,0.001041087522375953,0.0006928636906343753
close_open_ratio,normalized_relative,0.043038982630366346,0.04072955782415825,0.00014594047616088248,0.14237609392312325,3.793047873874523e-06,1.1413943049590837e-05,0.0010250349770073326,0.0006886407357096342
macd_signal,price_level_or_scale_dependent,0.03247436129108694,0.017527404392014983,4.159315978262111,0.10294222089550199,0.964986941926905,3.8127306869050748,40.404373852437935,31.5147859042507
macd,price_level_or_scale_dependent,0.02739375023816154,0.009108984431948524,4.165550671719046,0.09737482990471634,0.9647130594768542,3.7972379539707344,42.77851551366138,33.48779289707545
rsi,normalized_relative,0.025454559666190923,0.010181906731292791,0.7740305702014759,0.06243900484155344,50.859172697900355,51.621590259940504,12.396587232062275,12.099969896407176
bb_pct,normalized_relative,0.023301797833880367,0.0034044779025714567,0.013815799102622392,0.041805058749354786,0.5146339886742928,0.5281809295822569,0.33048151386309493,0.32764844336721805
macd_hist,price_level_or_scale_dependent,0.02009358467567135,0.019758990226397544,1.0128406052816281,0.08057634974315254,-0.00027388245005075163,-0.015492732934340269,12.569948980193166,10.140734319587898
day_of_week,session_time,0.009883370832733496,0.0005664996137094751,0.019366149168743046,0.013752897834893921,2.0060903541582658,1.9889876110624451,1.40815044227313,1.3988675054510058
hour_of_day,session_time,0.003142941304190794,4.211382800635212e-05,0.039111715893751384,0.005917210001948866,11.937413963318825,11.898635965461144,6.6098238664623565,6.607787648397158
is_asia_session,session_time,0.0020076380580322795,0.0,0.0020076380580320574,0.004355224393769282,0.30633925219350083,0.308346890251533,0.46097235791208513,0.461810659820388
is_new_york_session,session_time,0.0019424201462570068,0.0,0.0019424201462570068,0.00407658932858509,0.3484572493290877,0.34651482918283066,0.47648168350849934,0.4758595405571106
is_london_session,session_time,0.00036568490525890063,0.0,0.0003656849052587896,0.00076660626332659,0.3501536493457736,0.35051933425103243,0.4770178939993872,0.4771326131876183
is_weekend,session_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_market_open,session_time,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
